PID,DD_Indiff_Avg,DD_Kvalue
1084,841.8333333,-2.344815243
1079,446.8333333,-2.311788049
3145,289.6666667,-3.807789731
3100,844.8333333,-7.027792273
3058,549,-5.732372947
2113,120.8333333,-1.448108321
3156,304,-3.969976651
3113,612.6666667,-5.216439266
3098,720.5,-6.960323128
1012,532.6666667,-5.218313925
3020,545.3333333,-4.926589065
3033,739.5,-7.269991206
3076,732.3333333,-5.736057191
2076,368.8333333,-3.021133917
2041,570.6666667,-4.754214575
3041,637.8333333,-6.774271858
2052,427.3333333,-4.157278962
3119,861,-8.568219249
1060,783.8333333,-8.32390791
2092,618.3333333,-5.834819608
3092,589.3333333,-5.851507663
1018,479.5,-3.633118244
3081,501.3333333,-5.311493972
3137,698.8333333,-7.169362955
1105,539.8333333,-4.845235477
3028,402.5,-3.922837647
2028,477.8333333,-4.509873337
2090,836.1666667,-6.986463251
3090,694.3333333,-6.645213887
1107,630.3333333,-5.131968491
1009,33,1.613738213
2108,199.6666667,-0.540610977
3108,891.3333333,-7.743536942
3015,360.5,-3.539562759
3050,603.6666667,-4.207430551
2015,568.3333333,-4.791334061
2050,351.5,-3.958333061
3022,531.6666667,-3.432859153
2074,510.5,-4.206562563
2089,572.6666667,-4.484738809
1003,370.6666667,-4.103181661
1086,838.3333333,-0.420878813
2049,395,-3.315879358
2111,539.3333333,-4.338005303
3154,792.5,-7.282607849
1123,591,-5.776523862
1042,281.6666667,-1.962261539
1007,430,-1.779922961
3070,912.8333333,-7.433232065
2035,187.6666667,0.423407382
2070,843.3333333,-6.312071971
1051,552.8333333,-5.874955219
2026,849,-8.085679279
3026,741.6666667,-5.824244245
1127,506,-2.351281972
2115,367.1666667,-3.903612729
3150,216,-1.759984076
1082,234,0.413754751
3087,709.1666667,-7.129958166
3131,569.8333333,-6.105823339
1048,674.8333333,-5.519975185
1103,102,-0.493915189
2094,674.3333333,-6.670153246
3011,718.3333333,-5.741137341
3054,820,-8.141814156
2054,511.6666667,-5.122542088
1066,559.6666667,-5.316905701
1023,325.3333333,-0.539589738
3149,509.6666667,-4.47916699
1064,420.3333333,-2.829507435
1099,627,-4.992126577
2013,986.6666667,-10.30881141
2056,521,-5.277044255
3045,676.6666667,-5.881342165
3085,678,-6.821977658
3133,570.8333333,-5.717604192
2096,787.3333333,-8.135248847
3152,445.3333333,-3.719399592
3117,480,-5.359644002
1125,715.5,-7.289074464
3019,459.6666667,-5.01517219
3141,860.5,-8.282896145
3104,404.3333333,-4.485075426
1080,653.3333333,-4.977745754
3037,749,-5.513687978
3072,806.5,-7.407823007
2072,621.6666667,-5.819729972
1005,628.5,-3.381296756
3139,540,-4.522477793
1118,702.5,-6.825318973
2024,265,-2.744049052
3061,262.6666667,0.07217828
1016,731.5,-7.01674606
1063,360.6666667,-4.41029215
2051,236.5,-1.244716258
2014,977.1666667,-10.19873448
2109,491.8333333,-3.407537146
2042,848.1666667,-8.764548858
1106,740.6666667,-5.979970906
3134,506,-4.784495
2091,333.8333333,-4.232692258
3127,732,-6.606888435
3091,481.3333333,-4.788178128
3155,454.6666667,-4.49365036
1122,195.1666667,-0.882010365
3103,573.3333333,-5.901771252
1087,165.5,-1.311834074
3048,929,-8.877190874
2075,386.3333333,-3.120871344
2030,508.6666667,-4.470456595
2088,591.8333333,-5.151154885
3088,982.6666667,-9.95020313
1002,445.6666667,-4.227425618
3066,598.6666667,-5.779946342
3099,235.3333333,-2.77441408
2112,439.8333333,-4.468720993
3157,328,-3.416556973
1085,312.8333333,0.347363659
1078,736.3333333,-5.095242529
3080,220.1666667,-3.002114147
3136,424.3333333,-4.949995449
2038,250,-1.855969441
1104,300.3333333,0.408280895
2093,25.66666667,1.972523447
3016,274.6666667,-3.254305906
2053,376.3333333,-0.070296632
1024,744.6666667,-5.511732437
1061,675,-4.555699713
2097,537.6666667,-5.273591018
1058,399,-4.401548983
1100,819.8333333,-8.325297612
3084,698,-5.961965132
3044,802,-7.635859826
1020,999,-10.38474492
1065,694.3333333,-5.000171041
1098,395.5,-4.216681155
3057,382.6666667,-4.45082976
2057,595.1666667,-6.384202139
2012,804.6666667,-7.773874542
3060,366.6666667,-4.018974422
3025,505.6666667,-5.266366353
3073,328.5,-3.680033378
2073,273.6666667,-2.951401736
2036,482.3333333,-4.755740635
3140,902.8333333,-8.880532956
1081,516,-3.31646387
2116,244.6666667,-0.484521314
3153,514.5,-4.985193341
1124,419.8333333,-3.403149289
3151,716.6666667,-7.019651921
1015,489.6666667,-4.854378797
1043,275.6666667,0.413472646
3071,633.8333333,-5.713153828
2071,302.1666667,0.075337667
3046,807.5,-8.30736683
3148,705.3333333,-6.962510338
2055,273.8333333,-3.3064315
1067,993,-10.03140515
2095,550.5,-5.299251009
3123,529.6666667,-5.775261645
3068,822.8333333,-7.591403907
2068,428.3333333,-3.278389606
3086,532.5,-5.534474658
3130,613,-5.643102101
1102,455.6666667,-2.945143378
2099,472.1666667,-2.35971149
1056,499,-4.444318331
2021,68,-0.333638401
2064,157.6666667,-1.887885567
3064,584.1666667,-0.043516536
1045,525,-4.399082134
3077,729.6666667,-7.473776187
2032,142,-1.650753483
3144,775,-6.122605399
3101,522.1666667,-3.418413277
2101,999,-10.38474492
1096,589.3333333,-3.700785257
2059,841.1666667,-8.0167182
3059,586.3333333,-6.005485054
3112,558,-6.042300605
3125,528.5,-5.273398345
2125,365.6666667,0.047439272
3093,392,-4.401358233
1117,727.6666667,-3.297246349
3038,635.6666667,-6.704108041
2005,390.6666667,-4.604890781
2040,736.6666667,-6.016839997
3040,379.5,-2.784315903
1072,872.8333333,-7.026823716
1037,874.5,-7.850210615
3053,766,-8.061101087
3118,704.8333333,-4.468948496
3109,342.5,-0.54039683
1070,691,-5.578623571
1035,624,-5.77798969
2007,490.8333333,-5.32476556
3007,945,-7.965895459
3042,289.3333333,-3.628818244
1026,698.1666667,-3.393713286
3014,526.3333333,-5.296477814
3051,701,-6.084446539
1128,780,-5.054579039
2029,754.6666667,-4.995172457
1115,497.3333333,-4.087742506
3082,623.5,-5.036963702
2043,147.6666667,-1.851126914
2082,599.5,-5.612595349
1008,499.3333333,-4.24387898
3146,596,-5.248952596
1069,541,-3.401198324
3110,698.8333333,-5.721570222
1094,474.1666667,-1.809796473
2023,405,-0.538531178
2066,535.6666667,-3.172134092
3023,177.1666667,0.022218625
1011,986.5,-8.599549233
3030,456,-4.968013529
3075,459.3333333,-5.332964104
1028,12.33333333,2.118292217
3009,522.6666667,-5.141873602
2009,357,-4.363665871
3142,721,-6.965553876
3107,899.6666667,-8.402388982
1006,545.6666667,-4.136362802
1108,9.166666667,1.555431376
3034,784.5,-7.608678308
2034,216.3333333,-1.840137972
1050,742.6666667,-6.817727452
3129,888.6666667,-8.887885719
2027,751.8333333,-3.468939182
2062,628.5,-4.782073597
3062,780,-8.101239206
3010,624.8333333,-6.612003226
3055,381.8333333,-1.900057568
2010,991,-10.22522348
1022,283.5,0.799030659
2003,209.5,-2.983940593
2046,833.5,-7.669995247
3003,651.1666667,-6.964865107
1074,998.8333333,-10.38375729
1031,661,-6.389495948
2086,517.3333333,-3.388531714
1049,323.8333333,-3.825764896
3095,765.8333333,-4.181034803
1111,824.6666667,-8.512639792
2079,466,-4.67182571
2084,534.6666667,-4.729955032
1113,357,-2.68434338
3121,526.8333333,-4.474469027
2121,280.1666667,-2.454133534
3097,779.1666667,-7.84139751
1076,332.6666667,-1.922046197
1033,206.6666667,0.362008609
2001,112,-1.955703863
2044,514.8333333,-5.472584161
3036,647.6666667,-5.681215833
1041,509.3333333,-4.396742876
2025,192.1666667,-2.403482545
2060,560.3333333,-4.258444069
1017,2.333333333,3.320030758
3116,505.1666667,-5.236384086
1039,839.5,-6.253678237
3105,608.3333333,-3.849052447
2105,178.3333333,-2.309197108
3083,629.1666667,-5.935920256
2083,489.6666667,-3.628495688
1114,681.8333333,-5.873861552
3126,453.8333333,-4.406171817
1034,521.6666667,-2.357742582
1071,334,-1.912333178
2006,977.8333333,-10.18687771
3043,432.1666667,-4.55818996
3074,583.5,-6.053153001
3031,732.3333333,-7.329352321
1046,656,-3.751576742
2067,429,-4.000310218
2022,765.6666667,-6.196707212
3067,342.1666667,-3.974033403
1010,249.5,-0.293247424
1068,1,3.428764639
3111,507.5,-5.708467723
1095,319,-3.373763102
3102,533.1666667,-5.600516875
3147,630,-6.39069389
2102,418.6666667,-4.143978859
1097,483.1666667,-4.515192073
2058,335.5,-1.223635628
2100,995.5,-10.11349295
1044,396.3333333,-2.933403886
2033,934.6666667,-5.695645547
2098,401.6666667,-3.979793675
2065,566.6666667,-5.311681206
2020,164.1666667,-1.870992653
3065,669,-5.125565739
3017,350.3333333,-3.825179394
2017,335.3333333,-0.70243851
1025,1,3.428764639
2004,183,-0.507910281
3004,867.1666667,-7.415613176
1036,55.83333333,1.953836647
1073,685.5,-4.473000754
2081,545.6666667,-3.536368214
2039,561,-5.288762004
3039,731,-7.278683141
3124,726.6666667,-7.654586401
1032,380.8333333,-2.889553167
1077,710.8333333,-7.167134346
1019,671.6666667,-6.53414637
3158,800.3333333,-7.873490188
1021,610.6666667,-3.421372698
3056,387.3333333,-4.196463028
3013,342,-4.199545816
1112,96.66666667,-1.059719781
3120,824.1666667,-8.134013471
3096,547.8333333,-3.793108681
2078,545.8333333,-5.518469971
3078,818.1666667,-7.304048102
2085,633.6666667,-5.419333646
1038,292.6666667,-2.538175899
2104,602.1666667,-5.016464176
1093,408.5,-1.40105139
2061,525,-4.780514271
3024,995.5,-10.03025122
1014,603.6666667,-5.169418581
3128,633.5,-6.369172916
3063,650,-4.899858051
1109,335,-2.587099291
3035,432.8333333,-2.051707174
3008,688.6666667,-6.563636395
3106,429.3333333,-3.825005576
3143,669.3333333,-6.442943084
2106,373.6666667,-2.965659763
1091,292.6666667,-1.715377163
1029,614,-3.157361037
3115,564.1666667,-5.901696288
3122,380.6666667,-4.399854949
2122,380.8333333,-4.064027213
3094,526.8333333,-5.817799247
3069,513.6666667,-4.308846826
1110,441.5,-3.073727948
2087,576.3333333,-5.171609759
1088,251.6666667,-0.630918949
2047,691.1666667,-3.376321115
2002,639.6666667,-5.657342593
3047,513.3333333,-4.290798116
3002,504,-3.57467377
1030,381.6666667,-1.325470479
1075,201.5,0.097178016
2011,738,-5.563292545